Atuação da proteção de frequência - Dados de um relé comercial;
Desbalanço de Potência Ativa [pu];Tempo de Detecção [ms]
1,0157;145,81
1,0054;147,680862
0,995133333;144,964532
0,9845;144,6340547
0,974633333;144,6532937
0,964166667;144,905175
0,9539;144,9928264
0,9435;147,4494894
0,933266667;146,2977418
0,923066667;145,3366919
0,912933333;144,6465352
0,9025;145,3779249
0,8924;145,5820629
0,8822;146,950141
0,8718;150,0677538
0,861566667;143,5960823
0,8514;148,109228
0,841366667;149,9095132
0,831;149,1892724
0,820666667;145,761303
0,810633333;148,3304141
0,800266667;149,5772593
0,790333333;150,1407151
0,779933333;146,9908084
0,7699;148,166651
0,759666667;150,0580389
0,749533333;149,0692239
0,739366667;150,2787277
0,729233333;149,5850598
0,719033333;147,7220568
0,709;150,7324145
0,6988;150,6277422
0,688633333;152,6480968
0,678466667;151,0051054
0,6683;147,4662715
0,6582;149,0303926
0,648333333;148,3414577
0,638066667;148,0712867
0,6278;156,3310435
0,6178;175,5943511
0,607666667;169,0844456
0,597466667;165,4053691
0,587566667;161,1026229
0,577466667;169,2230083
0,567466667;176,0877546
0,557266667;172,3288368
0,547233333;182,9910729
0,537233333;188,3252902
0,527266667;187,1499
0,5171;189,2276602
0,507166667;188,3045054
0,497066667;194,9708559
0,487066667;192,1576032
0,477033333;195,929513
0,466966667;192,935043
0,4568;201,0974897
0,447;200,4697379
0,436833333;197,6321559
0,426966667;201,8007962
0,416933333;206,478695
0,407;206,4740988
0,397133333;207,7030784
0,387;211,47
0,3771;218,9584806
0,367133333;215,3310387
0,357066667;219,0747312
0,347133333;223,1421161
0,3371;223,1682009
0,327276667;226,0893415
0,317323333;232,783069
0,307426667;233,6834979
0,297516667;238,119336
0,287463333;242,6838448
0,27763;243,0168807
0,267713333;248,2559017
0,257786667;252,4032718
0,247883333;258,7162113
0,237943333;265,7282751
0,22808;267,1137736
0,218173333;275,0451086
0,20837;282,9494934
0,198376667;290,7931271
0,188646667;289,2877809
0,17867;302,3629943
0,16885;308,472248
0,158976667;318,1914606
0,14912;328,4909237
0,139203333;338,0970531
0,12945;353,3934109
0,119646667;368,1565099
0,109756667;384,5355792
0,099943333;407,6913998
0,090226667;434,6012809
0,080353333;462,4151102
0,07053;505,2382541
0,060723333;558,8740987
0,050946667;631,0446995
0,041156667;731,0678282
0,031397333;891,0726632
0,021515;1093,155961
0,011777667;1581,1
